Address;Price per month;Link to the property?
1889 Harrison St, Oakland, CA;2755;https://www.zillow.com/b/19th-and-harrison-oakland-ca-BPPyPZ/
17th & Broadway, 447 17th St UNIT 1109, Oakland, CA 94612;2877;https://www.zillow.com/homedetails/447-17th-St-UNIT-1109-Oakland-CA-94612/2083516478_zpid/
Webster Eleven, 1100 Webster St #330, Oakland, CA 94607;2925;https://www.zillow.com/homedetails/1100-Webster-St-330-Oakland-CA-94607/2077472938_zpid/
625 16th St, Oakland, CA;2724;https://www.zillow.com/b/lantana-uptown-oakland-ca-BPK7hG/
4510 Hubbard St, Emeryville, CA;2959;https://www.zillow.com/b/the-emery-emeryville-ca-C38rqM/
325 27th St, Oakland, CA;2960;https://www.zillow.com/b/hanover-broadway-oakland-ca-BMXb9V/
2450 Valdez St, Oakland, CA;2677;https://www.zillow.com/b/hanover-northgate-oakland-ca-BMVS8N/
Alexan Webster, 2330 Webster St, Oakland, CA 94612;2991;https://www.zillow.com/homedetails/2330-Webster-St-3128047-Oakland-CA-94612/2077427121_zpid/
South Shore Apartments, 934 Shorepoint Ct, Alameda, CA 94501;2646;https://www.zillow.com/homedetails/934-Shorepoint-Ct-2443506-Alameda-CA-94501/2062455390_zpid/
471 26th St, Oakland, CA;2471;https://www.zillow.com/b/telegraph-arts-oakland-ca-BPfZ4L/
240 3rd St, Oakland, CA;2415;https://www.zillow.com/b/allegro-at-jack-london-square-oakland-ca-5Xrk7p/
500 William St, Oakland, CA;2581;https://www.zillow.com/b/the-uptown-oakland-ca-5XkKdz/
The Bridge at Emeryville, 1325 40th St #1E-320, Emeryville, CA 94608;2789;https://www.zillow.com/homedetails/1325-40th-St-1E-320-Emeryville-CA-94608/2062546026_zpid/
4098 San Pablo Ave, Emeryville, CA;2195;https://www.zillow.com/b/oak-walk-emeryville-ca-5YLFLf/
238 13th St, Oakland, CA;2715;https://www.zillow.com/b/lydian-oakland-ca-BqzFbt/
3883 Turquoise Way, Oakland, CA;2907;https://www.zillow.com/b/the-skylyne-at-temescal-oakland-ca-BPDpmk/
3711 19th Ave, San Francisco, CA;2805;https://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/
540 39th St, Oakland, CA;2157;https://www.zillow.com/b/macarthur-commons-oakland-ca-BG4Hxg/
1940 Webster St, Oakland, CA;2526;https://www.zillow.com/b/modera-lake-merritt-oakland-ca-9NV4cK/
Shoreline, 1801 Shoreline Dr, Alameda, CA 94501;2695;https://www.zillow.com/homedetails/1801-Shoreline-Dr-38BA29A9E-Alameda-CA-94501/2066696169_zpid/
The Californian Apartments, 1940 Franciscan Way APT 304, Alameda, CA 94501;2550;https://www.zillow.com/homedetails/1940-Franciscan-Way-APT-304-Alameda-CA-94501/2100637700_zpid/
1826 Poggi St, Alameda, CA;2499;https://www.zillow.com/b/summer-house-alameda-ca-5XkKbW/
eaves Pacifica, 265 Gateway Dr, Pacifica, CA 94044;2905;https://www.zillow.com/homedetails/265-Gateway-Dr-4742A9890-Pacifica-CA-94044/2066761197_zpid/
532 Union St, Oakland, CA;2680;https://www.zillow.com/b/the-union-oakland-ca-BPfY9k/
Ora, 1815 Alice St #415, Oakland, CA 94612;2913;https://www.zillow.com/homedetails/1815-Alice-St-415-Oakland-CA-94612/2065426947_zpid/
40 Harrison St, Oakland, CA;2699;https://www.zillow.com/b/channel-house-oakland-ca-BjbC68/
Zo, 330 17th St, Oakland, CA 94612;2897;https://www.zillow.com/homedetails/330-17th-St-4291909-Oakland-CA-94612/2062443471_zpid/
3015 San Pablo Ave, Berkeley, CA;2752;https://www.zillow.com/b/higby-berkeley-ca-65ZYfD/
1333 Gough St, San Francisco, CA;2900;https://www.zillow.com/b/1333-gough-apartments-at-cathedral-hall-san-francisco-ca-5XjRmn/
4801 Shattuck, 4801 Shattuck Ave, Oakland, CA 94609;2995;https://www.zillow.com/homedetails/4801-Shattuck-Ave-4298114-Oakland-CA-94609/2062747842_zpid/
The Granada, 2510 Bancroft Way #311, Berkeley, CA 94704;2695;https://www.zillow.com/homedetails/2510-Bancroft-Way-311-Berkeley-CA-94704/2062983760_zpid/
960 Saint Francis Blvd, Daly City, CA;2745;https://www.zillow.com/b/skyline-heights-daly-city-ca-5Xk5Cx/
The Moran, 570 21st St #319, Oakland, CA 94612;2985;https://www.zillow.com/homedetails/570-21st-St-319-Oakland-CA-94612/2084737220_zpid/
Parc on Powell, 1333 Powell St #B-408, Emeryville, CA 94608;2996;https://www.zillow.com/homedetails/1333-Powell-St-B-408-Emeryville-CA-94608/2069705202_zpid/
2016 Telegraph Ave, Oakland, CA;2925;https://www.zillow.com/b/forma-oakland-ca-9NV4mL/
1150 Clay St, Oakland, CA;2669;https://www.zillow.com/b/eleven-fifty-clay-oakland-ca-BMMnBZ/
Ome Apartments, 663 Clementina St, San Francisco, CA 94103;2850;https://www.zillow.com/homedetails/663-Clementina-St-4BE1F97A0-San-Francisco-CA-94103/2066695411_zpid/
